Domain,Pagespeed,Yslow,Onload,Full_load,Requests,Total_size
etology.com/,37,51,4.5s,5.0s,163,8.47
everesttech.net/,57,69,3.5s,7.2s,132,1.36
intelius.com/,80,69,4.8s,6.3s,76,3.35
sina.com/,80,66,2.7s,3.3s,70,739
pomoho.com/,64,75,5.1s,5.3s,25,1.21
serving-sys.com/,84,98,0.6s,0.7s,3,168
sciencedirect.com/,95,94,1.1s,3.4s,26,770
ccbill.com/,97,97,0.7s,1.7s,24,288
incredimail.com/,94,96,308ms,459ms,7,67.3
capitalone.com/,76,56,6.1s,6.6s,90,1.51
yellowpages.com/,81,71,2.6s,2.9s,74,835
geocities.co.jp/,88,76,3.6s,3.8s,16,78
ebay.it/,77,68,2.1s,6.5s,137,1.98
glispa.com/,34,56,5.0s,6.2s,87,3.69
hotels.com/,60,82,2.3s,5.5s,155,1.24
opendns.com/,42,57,2.4s,4.4s,96,2.48
engadget.com/,23,43,8.6s,11.8s,654,3.42
chosun.com/,7,44,11.4s,16.2s,324,8.05
y8.com/,71,71,3.4s,4.9s,138,2.37
ourtoolbar.com/,98,93,447ms,0.5s,5,71.8
oricon.co.jp/,54,48,6.4s,7.5s,153,1.83
downloadhelper.net/,99,93,1.3s,1.5s,23,459
oyunlar1.com/,57,67,2.0s,3.2s,175,1.26
vector.co.jp/,71,60,3.7s,3.9s,67,497
cmbchina.com/,57,59,6.4s,7.1s,93,1.05
farmville.com/,93,94,1.8s,1.9s,35,930
120ask.com/,56,69,9.2s,9.4s,124,4.33
chip.de/,56,50,10.6s,12.2s,250,1.54
atwiki.jp/,82,82,2.6s,3.1s,45,664
zhaopin.com/,75,63,7.7s,8.0s,107,1.87
freeonlinegames.com/,57,71,2.7s,7.5s,315,4.01
wordpress.org/,88,87,1.1s,1.5s,28,1.05
latimes.com/,58,53,4.6s,9.2s,244,2.18
fotolog.com/,96,85,2.9s,4.6s,47,909
mp3raid.com/,80,68,1.2s,2.8s,68,1.06
boston.com/,39,52,7.5s,8.1s,356,1.96
mobile.de/,60,63,6.6s,7.7s,164,2.33
aufeminin.com/,83,74,2.6s,14.8s,72,1.66
wikihow.com/,88,94,2.5s,12.3s,85,593
11st.co.kr/,52,57,9.8s,9.9s,229,2.1
yaplog.jp/,93,95,0.7s,1.0s,4,29.4
merriam-webster.com/,38,56,9.5s,10.8s,424,2.61
itmedia.co.jp/,70,48,9.6s,11.1s,228,1.89
cookpad.com/,54,56,9.9s,12.5s,278,1.48
mercadolivre.com.br/,88,89,1.4s,4.5s,79,1.03
tu.tv/,99,99,384ms,0.6s,2,1.05
wauee.com/,99,99,0.6s,0.8s,2,7.45
priceline.com/,85,75,7.2s,10.9s,64,1.83
zshare.net/,98,90,1.2s,1.6s,9,123
qunar.com/,51,60,10.8s,13.0s,155,2.81
ryanair.com/,80,78,4.6s,7.4s,105,838
interia.pl/,62,61,5.8s,12.4s,239,3.39
ig.com.br/,42,53,7.9s,10.5s,383,3.42
monster.com/,70,84,1.7s,6.0s,176,1.82
archive.org/,69,66,2.7s,2.7s,59,881
alice.it/,29,38,11.7s,13.3s,338,2.93
xinmin.cn/,0,58,11.3s,13.7s,122,15
fixya.com/,43,51,10.7s,11.8s,312,1.39
nikkansports.com/,40,46,9.9s,13.9s,357,2.04
funshion.com/,72,71,11.3s,13.6s,97,1.97
sears.com/,54,48,4.6s,8.1s,277,2.25
bild.de/,37,45,14.3s,19.7s,426,25.2
ebay.fr/,71,71,2.0s,5.0s,127,2.37
iminent.com/,72,66,5.1s,5.2s,66,3.05
uploading.com/,98,96,1.1s,1.2s,4,219
baofeng.com/,92,83,6.4s,6.7s,18,394
1ting.com/,72,52,9.3s,13.4s,131,718
kuwo.cn/,53,73,5.5s,6.3s,50,2.54
bitauto.com/,11,56,17.6s,19.8s,426,9.27
tiexue.net/,26,45,24.8s,35.3s,597,4.68
mpnrs.com/,99,97,0.5s,0.7s,3,5.27
nowdownloadall.com/,94,83,1.4s,1.6s,19,175
southwest.com/,59,67,3.7s,8.7s,157,1.8
ce.cn/,29,54,5.7s,5.8s,108,3.64
in.com/,22,44,53.3s,73.1s,625,13.9
allrecipes.com/,24,42,20.4s,48.7s,794,3.57
travelocity.com/,59,41,11.6s,18.1s,313,2.78
people.com/,24,35,39.2s,62.5s,865,7.58
timesonline.co.uk/,44,53,7.8s,18.6s,367,3.64
dealtime.com/,90,95,0.9s,2.0s,33,972
ticketmaster.com/,62,66,11.5s,28.3s,164,3.12
mtv.com/,47,50,4.5s,15.9s,309,2.22
gazeta.pl/,57,50,13.0s,14.6s,218,3.88
bin-layer.de/,94,80,1.2s,1.3s,25,197
9wee.com/,71,73,4.2s,5.8s,48,1.69
donga.com/,37,36,14.2s,14.7s,268,2.95
lowes.com/,90,77,2.2s,6.2s,20,240
fanpop.com/,43,50,7.0s,7.8s,321,4.29
cnxad.com/,57,69,5.0s,5.2s,44,1.03
angelfire.com/,86,76,1.6s,1.7s,22,458
blackberry.com/,58,63,4.6s,7.0s,147,1.41
01net.com/,24,42,13.1s,35.9s,625,8.1
wunderground.com/,39,77,3.0s,8.8s,361,2.57
news.cn/,22,45,7.0s,9.4s,323,7.9
sapo.pt/,47,54,9.2s,11.1s,219,2.68
nydailynews.com/,32,45,12.0s,26.7s,589,4.69
mtime.com/,62,55,9.4s,11.1s,133,5.79
univision.com/,42,52,16.5s,20.1s,392,2.92
sfr.fr/,71,78,9.2s,13.0s,99,2.21
winamp.com/,70,71,3.8s,4.2s,33,1.28
webshots.com/,42,80,3.3s,5.4s,54,2.65
enet.com.cn/,79,74,3.0s,3.2s,25,466
made-in-china.com/,85,74,2.1s,2.8s,66,1.47
constantcontact.com/,52,46,5.4s,6.2s,178,3.5
examiner.com/,56,51,61.7s,65.8s,193,3.4
pandora.tv/,0,44,16.0s,16.3s,332,9.7
abril.com.br/,40,81,1.1s,6.3s,87,2.4
indeed.com/,84,77,1.4s,4.3s,48,651
overstock.com/,76,74,2.4s,5.6s,135,1.4
xywy.com/,32,50,36.2s,36.3s,130,3.44
gizmodo.com/,33,51,11.4s,13.3s,498,5.18
wiktionary.org/,91,76,0.7s,0.8s,23,105
shinobi.jp/,80,73,4.5s,5.3s,50,553
pandora.com/,100,99,147ms,351ms,3,25.3
dianping.com/,87,69,4.6s,10.8s,63,25.3
repubblica.it/,73,63,9.5s,9.6s,99,1.04
360doc.com/,21,55,5.9s,6.0s,141,4.2
duote.com/,15,56,12.6s,16.8s,401,5.52
176.com/,77,68,3.9s,6.5s,47,1.77
intel.com/,66,77,1.5s,6.2s,120,1.3
accountonline.com/,43,49,4.9s,8.7s,225,2.1
altervista.org/,78,80,1.9s,4.4s,52,765
rapid-downloads.com/,94,83,1.9s,2.1s,19,175
xe.com/,60,50,13.6s,18.5s,301,4.01
pixnet.net/,45,63,8.6s,10.0s,230,1.88
